instancia					   , trocas
L25-6.txt                      ,26
L25-7.txt                      ,27
L25-8.txt                      ,26
L25-9.txt                      ,25
L25-10.txt                     ,27
L26-1.txt                      ,29
L26-2.txt                      ,28
L26-3.txt                      ,27
L26-4.txt                      ,27
L26-5.txt                      ,27
L26-6.txt                      ,31
L26-7.txt                      ,29
L26-8.txt                      ,29
L26-9.txt                      ,30
L26-10.txt                     ,31
L27-1.txt                      ,35
L27-2.txt                      ,35
L27-3.txt                      ,32
L27-4.txt                      ,31
L27-5.txt                      ,30
L27-6.txt                      ,32
L27-7.txt                      ,32
L27-8.txt                      ,33
L27-9.txt                      ,31
L27-10.txt                     ,33
L28-1.txt                      ,25
L28-2.txt                      ,25
L28-3.txt                      ,25
L28-4.txt                      ,27
L28-5.txt                      ,25
L28-6.txt                      ,25
L28-7.txt                      ,24
L28-8.txt                      ,25
L28-9.txt                      ,25
L28-10.txt                     ,25
L29-1.txt                      ,25
L29-2.txt                      ,25
L29-3.txt                      ,25
L29-4.txt                      ,25
L29-5.txt                      ,25
L29-6.txt                      ,25
L29-7.txt                      ,25
L29-8.txt                      ,25
L29-9.txt                      ,25
L29-10.txt                     ,25
L30-1.txt                      ,25
L30-2.txt                      ,25
L30-3.txt                      ,25
L30-4.txt                      ,25
L30-5.txt                      ,25
L30-6.txt                      ,25
L30-7.txt                      ,25
L30-8.txt                      ,25
L30-9.txt                      ,25
L30-10.txt                     ,25
L31-1.txt                      ,25
L31-2.txt                      ,25
L31-3.txt                      ,25
L31-4.txt                      ,25
L31-5.txt                      ,25
L31-6.txt                      ,25
L31-7.txt                      ,25
L31-8.txt                      ,25
L31-9.txt                      ,25
L31-10.txt                     ,25
L32-1.txt                      ,20
L32-2.txt                      ,22
L32-3.txt                      ,24
L32-4.txt                      ,20
L32-5.txt                      ,21
L32-6.txt                      ,22
L32-7.txt                      ,24
L32-8.txt                      ,23
L32-9.txt                      ,21
L32-10.txt                     ,21
L33-1.txt                      ,20
L33-2.txt                      ,20
L33-3.txt                      ,20
L33-4.txt                      ,20
L33-5.txt                      ,20
L33-6.txt                      ,20
L33-7.txt                      ,20
L33-8.txt                      ,20
L33-9.txt                      ,20
L33-10.txt                     ,20
L34-1.txt                      ,20
L34-2.txt                      ,20
L34-3.txt                      ,20
L34-4.txt                      ,20
L34-5.txt                      ,20
L34-6.txt                      ,20
L34-7.txt                      ,20
L34-8.txt                      ,20
L34-9.txt                      ,20
L34-10.txt                     ,20
a.txt							,7
